,法院名称,上诉法院,级别
0,北京一中级人民法院,北京高级人民法院,中级
1,北京二中级人民法院,北京高级人民法院,中级
2,北京四中级人民法院,北京高级人民法院,中级
3,北京三中级人民法院,北京高级人民法院,中级
4,北京知产人民法院,北京高级人民法院,中级
5,天津一中级人民法院,天津高级人民法院,中级
6,天津二中级人民法院,天津高级人民法院,中级
7,滨海新区人民法院,天津高级人民法院,中级
8,天津海事人民法院,天津高级人民法院,中级
9,天津铁路运输人民法院,天津高级人民法院,中级
10,天津三中级人民法院,天津高级人民法院,中级
11,石家庄市中级人民法院,河北高级人民法院,中级
12,唐山市中级人民法院,河北高级人民法院,中级
13,秦皇岛市中级人民法院,河北高级人民法院,中级
14,邯郸市中级人民法院,河北高级人民法院,中级
15,邢台市中级人民法院,河北高级人民法院,中级
16,保定市中级人民法院,河北高级人民法院,中级
17,张家口市中级人民法院,河北高级人民法院,中级
18,承德市中级人民法院,河北高级人民法院,中级
19,沧州市中级人民法院,河北高级人民法院,中级
20,廊坊市中级人民法院,河北高级人民法院,中级
21,衡水市中级人民法院,河北高级人民法院,中级
22,石家庄铁路运输人民法院,河北高级人民法院,中级
23,太原市中级人民法院,山西高级人民法院,中级
24,大同市中级人民法院,山西高级人民法院,中级
25,阳泉市中级人民法院,山西高级人民法院,中级
26,长治市中级人民法院,山西高级人民法院,中级
27,晋城市中级人民法院,山西高级人民法院,中级
28,朔州市中级人民法院,山西高级人民法院,中级
29,晋中市中级人民法院,山西高级人民法院,中级
30,运城市中级人民法院,山西高级人民法院,中级
31,忻州市中级人民法院,山西高级人民法院,中级
32,临汾市中级人民法院,山西高级人民法院,中级
33,吕梁市中级人民法院,山西高级人民法院,中级
34,太原铁路中级人民法院,山西高级人民法院,中级
35,呼和浩特市中级人民法院,内蒙古高级人民法院,中级
36,包头市中级人民法院,内蒙古高级人民法院,中级
37,乌海市中级人民法院,内蒙古高级人民法院,中级
38,赤峰市中级人民法院,内蒙古高级人民法院,中级
39,通辽市中级人民法院,内蒙古高级人民法院,中级
40,鄂尔多斯市中级人民法院,内蒙古高级人民法院,中级
41,呼伦贝尔市中级人民法院,内蒙古高级人民法院,中级
42,巴彦淖尔市中级人民法院,内蒙古高级人民法院,中级
43,乌兰察布市中级人民法院,内蒙古高级人民法院,中级
44,锡林郭勒盟中级人民法院,内蒙古高级人民法院,中级
45,兴安盟中级人民法院,内蒙古高级人民法院,中级
46,阿拉善盟中级人民法院,内蒙古高级人民法院,中级
47,呼和浩特铁路中级人民法院,内蒙古高级人民法院,中级
48,沈阳市中级人民法院,辽宁高级人民法院,中级
49,大连市中级人民法院,辽宁高级人民法院,中级
50,鞍山市中级人民法院,辽宁高级人民法院,中级
51,抚顺市中级人民法院,辽宁高级人民法院,中级
52,本溪市中级人民法院,辽宁高级人民法院,中级
53,丹东市中级人民法院,辽宁高级人民法院,中级
54,锦州市中级人民法院,辽宁高级人民法院,中级
55,营口市中级人民法院,辽宁高级人民法院,中级
56,阜新市中级人民法院,辽宁高级人民法院,中级
57,辽阳市中级人民法院,辽宁高级人民法院,中级
58,盘锦市中级人民法院,辽宁高级人民法院,中级
59,铁岭市中级人民法院,辽宁高级人民法院,中级
60,朝阳市中级人民法院,辽宁高级人民法院,中级
61,葫芦岛市中级人民法院,辽宁高级人民法院,中级
62,沈阳铁路中级人民法院,辽宁高级人民法院,中级
63,辽河中级人民法院,辽宁高级人民法院,中级
64,大连海事人民法院,辽宁高级人民法院,中级
65,长春市中级人民法院,吉林高级人民法院,中级
66,吉林市中级人民法院,吉林高级人民法院,中级
67,四平市中级人民法院,吉林高级人民法院,中级
68,辽源市中级人民法院,吉林高级人民法院,中级
69,通化市中级人民法院,吉林高级人民法院,中级
70,白山市中级人民法院,吉林高级人民法院,中级
71,松原市中级人民法院,吉林高级人民法院,中级
72,白城市中级人民法院,吉林高级人民法院,中级
73,延边中级人民法院,吉林高级人民法院,中级
74,长春林区中级人民法院,吉林高级人民法院,中级
75,延边林区中级人民法院,吉林高级人民法院,中级
76,长春铁路中级人民法院,吉林高级人民法院,中级
77,哈尔滨市中级人民法院,黑龙江高级人民法院,中级
78,齐齐哈尔市中级人民法院,黑龙江高级人民法院,中级
79,鸡西市中级人民法院,黑龙江高级人民法院,中级
80,鹤岗市中级人民法院,黑龙江高级人民法院,中级
81,双鸭山市中级人民法院,黑龙江高级人民法院,中级
82,大庆市中级人民法院,黑龙江高级人民法院,中级
83,伊春市中级人民法院,黑龙江高级人民法院,中级
84,佳木斯市中级人民法院,黑龙江高级人民法院,中级
85,七台河市中级人民法院,黑龙江高级人民法院,中级
86,牡丹江市中级人民法院,黑龙江高级人民法院,中级
87,黑河市中级人民法院,黑龙江高级人民法院,中级
88,绥化市中级人民法院,黑龙江高级人民法院,中级
89,大兴安岭中级人民法院,黑龙江高级人民法院,中级
90,哈尔滨铁路中级人民法院,黑龙江高级人民法院,中级
91,林区中级人民法院,黑龙江高级人民法院,中级
92,农垦中级人民法院,黑龙江高级人民法院,中级
93,上海一中级人民法院,上海高级人民法院,中级
94,上海二中级人民法院,上海高级人民法院,中级
95,上海海事人民法院,上海高级人民法院,中级
96,上海铁路中级人民法院,上海高级人民法院,中级
97,上海三中级人民法院,上海高级人民法院,中级
98,上海知产人民法院,上海高级人民法院,中级
99,南京市中级人民法院,江苏高级人民法院,中级
100,无锡市中级人民法院,江苏高级人民法院,中级
101,徐州市中级人民法院,江苏高级人民法院,中级
102,常州市中级人民法院,江苏高级人民法院,中级
103,苏州市中级人民法院,江苏高级人民法院,中级
104,南通市中级人民法院,江苏高级人民法院,中级
105,连云港市中级人民法院,江苏高级人民法院,中级
106,淮安市中级人民法院,江苏高级人民法院,中级
107,盐城市中级人民法院,江苏高级人民法院,中级
108,扬州市中级人民法院,江苏高级人民法院,中级
109,镇江市中级人民法院,江苏高级人民法院,中级
110,泰州市中级人民法院,江苏高级人民法院,中级
111,宿迁市中级人民法院,江苏高级人民法院,中级
112,南京铁路运输人民法院,江苏高级人民法院,中级
113,徐州铁路运输人民法院,江苏高级人民法院,中级
114,杭州市中级人民法院,浙江高级人民法院,中级
115,宁波市中级人民法院,浙江高级人民法院,中级
116,温州市中级人民法院,浙江高级人民法院,中级
117,嘉兴市中级人民法院,浙江高级人民法院,中级
118,湖州市中级人民法院,浙江高级人民法院,中级
119,绍兴市中级人民法院,浙江高级人民法院,中级
120,金华市中级人民法院,浙江高级人民法院,中级
121,衢州市中级人民法院,浙江高级人民法院,中级
122,舟山市中级人民法院,浙江高级人民法院,中级
123,台州市中级人民法院,浙江高级人民法院,中级
124,丽水市中级人民法院,浙江高级人民法院,中级
125,宁波海事人民法院,浙江高级人民法院,中级
126,杭州铁路运输人民法院,浙江高级人民法院,中级
127,合肥市中级人民法院,安徽高级人民法院,中级
128,芜湖市中级人民法院,安徽高级人民法院,中级
129,蚌埠市中级人民法院,安徽高级人民法院,中级
130,淮南市中级人民法院,安徽高级人民法院,中级
131,马鞍山市中级人民法院,安徽高级人民法院,中级
132,淮北市中级人民法院,安徽高级人民法院,中级
133,铜陵市中级人民法院,安徽高级人民法院,中级
134,安庆市中级人民法院,安徽高级人民法院,中级
135,黄山市中级人民法院,安徽高级人民法院,中级
136,滁州市中级人民法院,安徽高级人民法院,中级
137,阜阳市中级人民法院,安徽高级人民法院,中级
138,宿州市中级人民法院,安徽高级人民法院,中级
139,六安市中级人民法院,安徽高级人民法院,中级
140,亳州市中级人民法院,安徽高级人民法院,中级
141,池州市中级人民法院,安徽高级人民法院,中级
142,宣城市中级人民法院,安徽高级人民法院,中级
143,福州市中级人民法院,福建高级人民法院,中级
144,厦门市中级人民法院,福建高级人民法院,中级
145,莆田市中级人民法院,福建高级人民法院,中级
146,三明市中级人民法院,福建高级人民法院,中级
147,泉州市中级人民法院,福建高级人民法院,中级
148,漳州市中级人民法院,福建高级人民法院,中级
149,南平市中级人民法院,福建高级人民法院,中级
150,龙岩市中级人民法院,福建高级人民法院,中级
151,宁德市中级人民法院,福建高级人民法院,中级
152,厦门海事人民法院,福建高级人民法院,中级
153,福州铁路人民法院,福建高级人民法院,中级
154,南昌市中级人民法院,江西高级人民法院,中级
155,景德镇市中级人民法院,江西高级人民法院,中级
156,萍乡市中级人民法院,江西高级人民法院,中级
157,九江市中级人民法院,江西高级人民法院,中级
158,新余市中级人民法院,江西高级人民法院,中级
159,鹰潭市中级人民法院,江西高级人民法院,中级
160,赣州市中级人民法院,江西高级人民法院,中级
161,吉安市中级人民法院,江西高级人民法院,中级
162,宜春市中级人民法院,江西高级人民法院,中级
163,抚州市中级人民法院,江西高级人民法院,中级
164,上饶市中级人民法院,江西高级人民法院,中级
165,济南市中级人民法院,山东高级人民法院,中级
166,青岛市中级人民法院,山东高级人民法院,中级
167,淄博市中级人民法院,山东高级人民法院,中级
168,枣庄市中级人民法院,山东高级人民法院,中级
169,东营市中级人民法院,山东高级人民法院,中级
170,烟台市中级人民法院,山东高级人民法院,中级
171,潍坊市中级人民法院,山东高级人民法院,中级
172,济宁市中级人民法院,山东高级人民法院,中级
173,泰安市中级人民法院,山东高级人民法院,中级
174,威海市中级人民法院,山东高级人民法院,中级
175,日照市中级人民法院,山东高级人民法院,中级
176,莱芜市中级人民法院,山东高级人民法院,中级
177,临沂市中级人民法院,山东高级人民法院,中级
178,德州市中级人民法院,山东高级人民法院,中级
179,聊城市中级人民法院,山东高级人民法院,中级
180,滨州市中级人民法院,山东高级人民法院,中级
181,菏泽市中级人民法院,山东高级人民法院,中级
182,济南铁路中级人民法院,山东高级人民法院,中级
183,青岛海事人民法院,山东高级人民法院,中级
184,郑州市中级人民法院,河南高级人民法院,中级
185,开封市中级人民法院,河南高级人民法院,中级
186,洛阳市中级人民法院,河南高级人民法院,中级
187,平顶山市中级人民法院,河南高级人民法院,中级
188,安阳市中级人民法院,河南高级人民法院,中级
189,鹤壁市中级人民法院,河南高级人民法院,中级
190,新乡市中级人民法院,河南高级人民法院,中级
191,焦作市中级人民法院,河南高级人民法院,中级
192,濮阳市中级人民法院,河南高级人民法院,中级
193,许昌市中级人民法院,河南高级人民法院,中级
194,漯河市中级人民法院,河南高级人民法院,中级
195,三门峡市中级人民法院,河南高级人民法院,中级
196,南阳市中级人民法院,河南高级人民法院,中级
