,法院名称,上诉法院,级别
0,海淀区人民法院,北京一中级人民法院,基层
1,石景山区人民法院,北京一中级人民法院,基层
2,门头沟区人民法院,北京一中级人民法院,基层
3,昌平区人民法院,北京一中级人民法院,基层
4,延庆区人民法院,北京一中级人民法院,基层
5,东城区人民法院,北京二中级人民法院,基层
6,丰台区人民法院,北京二中级人民法院,基层
7,西城区人民法院,北京二中级人民法院,基层
8,房山区人民法院,北京二中级人民法院,基层
9,大兴区人民法院,北京二中级人民法院,基层
10,北京互联网人民法院,北京四中级人民法院,基层
11,朝阳区人民法院,北京三中级人民法院,基层
12,通州区人民法院,北京三中级人民法院,基层
13,顺义区人民法院,北京三中级人民法院,基层
14,怀柔区人民法院,北京三中级人民法院,基层
15,平谷区人民法院,北京三中级人民法院,基层
16,密云区人民法院,北京三中级人民法院,基层
17,和平区人民法院,天津一中级人民法院,基层
18,南开区人民法院,天津一中级人民法院,基层
19,河北区人民法院,天津一中级人民法院,基层
20,红桥区人民法院,天津一中级人民法院,基层
21,西青区人民法院,天津一中级人民法院,基层
22,北辰区人民法院,天津一中级人民法院,基层
23,武清区人民法院,天津一中级人民法院,基层
24,宝坻区人民法院,天津一中级人民法院,基层
25,静海区人民法院,天津一中级人民法院,基层
26,蓟州区人民法院,天津一中级人民法院,基层
27,河东区人民法院,天津二中级人民法院,基层
28,河西区人民法院,天津二中级人民法院,基层
29,东丽区人民法院,天津二中级人民法院,基层
30,津南区人民法院,天津二中级人民法院,基层
31,宁河区人民法院,天津二中级人民法院,基层
32,塘沽人民法院,滨海新区人民法院,基层
33,汉沽人民法院,滨海新区人民法院,基层
34,大港人民法院,滨海新区人民法院,基层
35,滨海功能区人民法院,滨海新区人民法院,基层
36,长安区人民法院,石家庄市中级人民法院,基层
37,桥东区人民法院,石家庄市中级人民法院,基层
38,桥西区人民法院,石家庄市中级人民法院,基层
39,新华区人民法院,石家庄市中级人民法院,基层
40,裕华区人民法院,石家庄市中级人民法院,基层
41,井陉县人民法院,石家庄市中级人民法院,基层
42,鹿泉区人民法院,石家庄市中级人民法院,基层
43,正定县人民法院,石家庄市中级人民法院,基层
44,栾城区人民法院,石家庄市中级人民法院,基层
45,辛集市人民法院,石家庄市中级人民法院,基层
46,藁城区人民法院,石家庄市中级人民法院,基层
47,晋州市人民法院,石家庄市中级人民法院,基层
48,深泽县人民法院,石家庄市中级人民法院,基层
49,无极县人民法院,石家庄市中级人民法院,基层
50,赵县人民法院,石家庄市中级人民法院,基层
51,新乐市人民法院,石家庄市中级人民法院,基层
52,高邑县人民法院,石家庄市中级人民法院,基层
53,元氏县人民法院,石家庄市中级人民法院,基层
54,赞皇县人民法院,石家庄市中级人民法院,基层
55,平山县人民法院,石家庄市中级人民法院,基层
56,灵寿县人民法院,石家庄市中级人民法院,基层
57,行唐县人民法院,石家庄市中级人民法院,基层
58,井陉矿区人民法院,石家庄市中级人民法院,基层
59,高新区人民法院,石家庄市中级人民法院,基层
60,路南区人民法院,唐山市中级人民法院,基层
